"financial_year","actual_revised_estimated","type","category","class","amount"
2019,"Actual","Operating","Transfers","Social Transfers",3972
2020,"Revised","Operating","Transfers","Social Transfers",6698
2021,"Estimated","Operating","Transfers","Social Transfers",5771
1997,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",853
1998,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",1064
1999,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",983
2000,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",3058
2001,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",1754
2002,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",1817
2003,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",2240
2004,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",2073
2005,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",1918
2006,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",3542
2007,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",3470
2008,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",4398
2009,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",5131
2010,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",5742
2011,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",6622
2012,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",6871
2013,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",8046
2014,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",8596
2015,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",9889
2016,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",10509
2017,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",10988
2018,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",11584
2019,"Actual","Operating","Transfers","Transfers to Institutions & Organisations",11876
2020,"Revised","Operating","Transfers","Transfers to Institutions & Organisations",15494
2021,"Estimated","Operating","Transfers","Transfers to Institutions & Organisations",18672
1997,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
1998,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
1999,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
2000,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
2001,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
2002,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
2003,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
2004,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",0
2005,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",106
2006,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",106
2007,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",107
2008,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",119
2009,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",137
2010,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",136
2011,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",105
2012,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",109
2013,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",171
2014,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",123
2015,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",175
2016,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",205
2017,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",226
2018,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",175
2019,"Actual","Operating","Transfers","International Organisations & Overseas Development Assistance",163
2020,"Revised","Operating","Transfers","International Organisations & Overseas Development Assistance",189
2021,"Estimated","Operating","Transfers","International Organisations & Overseas Development Assistance",180
1997,"Actual","Development","Development Expenditure","Direct Development",5326
1998,"Actual","Development","Development Expenditure","Direct Development",6981
1999,"Actual","Development","Development Expenditure","Direct Development",6369
2000,"Actual","Development","Development Expenditure","Direct Development",5464
2001,"Actual","Development","Development Expenditure","Direct Development",4503
2002,"Actual","Development","Development Expenditure","Direct Development",3962
2003,"Actual","Development","Development Expenditure","Direct Development",4221
2004,"Actual","Development","Development Expenditure","Direct Development",4349
2005,"Actual","Development","Development Expenditure","Direct Development",3522
2006,"Actual","Development","Development Expenditure","Direct Development",2760
2007,"Actual","Development","Development Expenditure","Direct Development",3086
2008,"Actual","Development","Development Expenditure","Direct Development",3285
2009,"Actual","Development","Development Expenditure","Direct Development",4309
2010,"Actual","Development","Development Expenditure","Direct Development",4529
2011,"Actual","Development","Development Expenditure","Direct Development",4388
2012,"Actual","Development","Development Expenditure","Direct Development",4760
2013,"Actual","Development","Development Expenditure","Direct Development",4045
2014,"Actual","Development","Development Expenditure","Direct Development",4654
2015,"Actual","Development","Development Expenditure","Direct Development",5133
2016,"Actual","Development","Development Expenditure","Direct Development",6268
2017,"Actual","Development","Development Expenditure","Direct Development",6105
2018,"Actual","Development","Development Expenditure","Direct Development",5852
2019,"Actual","Development","Development Expenditure","Direct Development",6191
2020,"Revised","Development","Development Expenditure","Direct Development",4568
2021,"Estimated","Development","Development Expenditure","Direct Development",7024
1997,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",3637
1998,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",5301
1999,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",3842
2000,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",4029
2001,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",4266
2002,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",3831
2003,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",4287
2004,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",4252
2005,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",3667
2006,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",3220
2007,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",3944
2008,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",6072
2009,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",6673
2010,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",7538
2011,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",7025
2012,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",7823
2013,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",7958
2014,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",9309
2015,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",14223
2016,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",12648
2017,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",11870
2018,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",14411
2019,"Actual","Development","Development Expenditure","Grants & Capital injections to Organisations",10480
2020,"Revised","Development","Development Expenditure","Grants & Capital injections to Organisations",11844
2021,"Estimated","Development","Development Expenditure","Grants & Capital injections to Organisations",12850
